league,id,minute,result,X,Y,xG,player,h_a,player_id,season,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,is_goal,X_m,Y_m,shot_distance,shot_angle,dist2,angle2,angle_distance,shotType_Head,shotType_LeftFoot,shotType_OtherBodyPart,shotType_RightFoot,situation_FromCorner,situation_OpenPlay,situation_Penalty,situation_SetPiece,lastAction_BallRecovery,lastAction_BallTouch,lastAction_BlockedPass,lastAction_Card,lastAction_Challenge,lastAction_ChanceMissed,lastAction_Chipped,lastAction_Clearance,lastAction_CornerAwarded,lastAction_Cross,lastAction_CrossNotClaimed,lastAction_Dispossessed,lastAction_End,lastAction_Error,lastAction_FormationChange,lastAction_Foul,lastAction_Goal,lastAction_GoodSkill,lastAction_HeadPass,lastAction_Interception,lastAction_KeeperPickup,lastAction_KeeperSweeper,lastAction_LayOff,lastAction_OffsidePass,lastAction_OffsideProvoked,lastAction_Pass,lastAction_PenaltyFaced,lastAction_Punch,lastAction_Rebound,lastAction_Save,lastAction_ShieldBallOpp,lastAction_Standard,lastAction_Start,lastAction_SubstitutionOn,lastAction_Tackle,lastAction_TakeOn,lastAction_Throughball,predicted_xg
Serie_A,277312.0,29.0,BlockedShot,0.8009999847412109,0.33,0.0231973994523286,Miguel Veloso,a,1098.0,2018.0,9798.0,Bologna,Genoa,1.0,1.0,2019-02-10 11:30:00,,0,84.10499839782715,22.44,23.87958734892222,0.5053291381748628,570.2346919548062,0.2553575378885496,12.067051295002223,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.029122259845858006
Ligue_1,442690.0,15.0,MissedShots,0.7819999694824219,0.3659999847412109,0.0275839008390903,Marcus Coco,a,3479.0,2021.0,17956.0,Paris Saint Germain,Nantes,3.0,1.0,2021-11-20 16:00:00,Ludovic Blas,0,82.1099967956543,24.887998962402342,24.636980529361495,0.3788481698596069,606.9808096041373,0.14352593580597356,9.33367498441537,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.04159126106382186
Serie_A,391175.0,47.0,MissedShots,0.769000015258789,0.3890000152587891,0.0216496996581554,Dusan Vlahovic,h,7084.0,2020.0,15517.0,Fiorentina,Genoa,1.0,1.0,2020-12-07 19:45:00,Giacomo Bonaventura,0,80.74500160217285,26.452001037597658,25.402307682866617,0.30169420474290665,645.2772356150243,0.09101939317545488,7.663729015017072,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.02691449957355674
Ligue_1,295635.0,83.0,MissedShots,0.911999969482422,0.585,0.0548628009855747,Hilton,a,3337.0,2018.0,10970.0,Strasbourg,Montpellier,1.0,3.0,2019-04-20 19:00:00,Andy Delort,0,95.75999679565432,39.78,10.898901743584924,0.5589881887756517,118.78605921631849,0.31246779519068363,6.092357345290329,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.06876964475758092
La_Liga,,,,,,,,,,,,,,,,,,0,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7342038081048315
Serie_A,503972.0,6.0,MissedShots,0.919000015258789,0.5270000076293946,0.0417217016220092,Alessandro Buongiorno,h,5025.0,2022.0,18760.0,Torino,Spezia,0.0,1.0,2023-01-15 14:00:00,Nikola Vlasic,0,96.49500160217285,35.83600051879883,8.700913495264276,0.21261055100068915,75.705895652072,0.045203246396816645,1.8499060124374698,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.07802090076534357
Bundesliga,,,,,,,,,,,,,,,,,,0,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7342038081048315
Serie_A,253865.0,37.0,MissedShots,0.6959999847412109,0.349000015258789,0.0113126002252101,Joel Campbell,h,506.0,2018.0,9710.0,Frosinone,Cagliari,1.0,1.0,2018-12-02 14:00:00,,0,73.07999839782715,23.73200103759765,33.53085601315023,0.31122537741602946,1124.3183049746128,0.09686123554774997,10.43565331777522,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.008924490617417694
EPL,,,,,,,,,,,,,,,,,,0,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7342038081048315
Bundesliga,,,,,,,,,,,,,,,,,,0,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7342038081048315
